MCC,DESCRIPTION,REQUIRED NAME IN AUTHORIZATION REQUEST / CLEARING RECORD,DESCRIPTION_UZ,DESCRIPTION_RU
4814,"Telecommunication Services, including Local and Long-Distance Calls, Credit Card Calls, Calls Through Use of Magnetic-Stripe-Reading Telephones, and Fax Services",,"Telekommunikatsiya xizmatlari, shu jumladan mahalliy va shaharlararo qo'ng'iroqlar, kredit kartalari Qo'ng'iroqlar, magnit-stripe-rese telefonlari va faks xizmatlaridan foydalanish orqali","Телекоммуникационные услуги, в том числе локальные и дальние звонки, звонки по кредитным картам, звонки с использованием телефонов для чтения магнитной полосы и услуг факса"
4816,Computer Network/Information Services,,Kompyuter tarmog'i / Axborot xizmatlari,Компьютерная сеть/информационные службы
4821,Telegraph Services,,Telegraf xizmatlari,Телеграфские услуги
4829,Money Transfer,,Pul o'tkazmasi,Перевод денег
4899,"Cable, Satellite and Other Pay Television/Radio/Streaming Services",,"Kabel, yo'ldosh va boshqa to'lovlar televizion / radio / oqim xizmatlari","Кабельные, спутниковые и другие платные телевизоры/радио/потоковые услуги"
4900,"Utilities - Electric, Gas, Water, and Sanitary",,"Kommunal xizmatlar - elektr, gaz, suv va sanitariya","Коммунальные услуги - электрический, газ, вода и санитария"
5013,Motor Vehicle Supplies and New Parts,,Avtotransport vositalari va yangi qismlar,Поставки автомобилей и новые детали
5021,Office and Commercial Furniture,,Ofis va tijorat mebellari,Офисная и коммерческая мебель
5039,Construction Materials (Not Elsewhere Classified ),,Qurilish materiallari (boshqa joyda tasniflangan),Строительные материалы (не классифицируются в другом месте)
5044,"Photographic, Photocopy, Microfilm Equipment and Supplies",,"Fotosurat, fotokopiya, mikrofilm uskunalari va materiallari","Фотографический, фотокопия, микрофильмное оборудование и расходные материалы"
5045,Computers and Computer Peripheral Equipment and Software,,Kompyuterlar va kompyuter periferik uskunalari va dasturiy ta'minoti,Компьютеры и компьютерное периферийное оборудование и программное обеспечение
5046,Commercial Equipment (Not Elsewhere Classified),,Tijorat uskunalari (boshqa joyda tasniflangan),Коммерческое оборудование (не классифицировано в других местах)
5047,"Medical, Dental, Ophthalmic and Hospital Equipment and Supplies",,"Tibbiy, stomatologiya, oftalmoyika va kasalxona jihozlari va materiallari","Медицинское, стоматологическое, офтальмологическое и больничное оборудование и расходные материалы"
5051,Metal Service Centers and Offices,,Metall servis markazlari va ofislari,Металлические центры и офисы
5065,Electrical Parts and Equipment,,Elektr qismlari va uskunalari,Электрические детали и оборудование
5072,"Hardware, Equipment and Supplies",,"Uskunalar, uskunalar va materiallar","Оборудование, оборудование и расходные материалы"
5074,Plumbing and Heating Equipment and Supplies,,Santexnika va isitish uskunalari va materiallar,Сантехника и отопление оборудования и расходные материалы
5085,Industrial Supplies (Not Elsewhere Classified),,Sanoat ta'minoti (boshqa joyda tasniflangan emas),Промышленные принадлежности (не классифицируются в других местах)
5094,"Precious Stones and Metals, Watches and Jewelry",,"Qimmatbaho toshlar va metallar, soatlar va zargarlik buyumlari","Драгоценные камни и металлы, часы и украшения"
5099,Durable Goods (Not Elsewhere Classified),,Bardoshli mahsulotlar (boshqa joyda tasniflangan emas),Проверенные товары (не классифицируются в другом месте)
5111,"Stationery, Office Supplies, Printing and Writing Paper",,"Kantselyariya tovarlari, ofis materiallari, bosib chiqarish va yozish qog'ozi","Канцелярские товары, офисные принадлежности, печатная и писательская бумага"
5122,"Drugs, Drug Proprietaries, and Druggist Sundries",,"Giyohvand moddalar, giyohvandlik vositalari va dorixonalar sunmistikasi","Лекарства, владения лекарствами и аптекание солнат"
5131,"Piece Goods, Notions, and Other Dry Goods",,"Buyumlar, tushunchalar va boshqa quruq mahsulotlar","Товары, представления и другие сухие товары"
5137,"Men's, Women's, and Children's Uniforms and Commercial Clothing",,"Erkaklar, ayollar va bolalar kiyimlari va tijorat kiyimlari","Мужская, женская и детская форма и коммерческая одежда"
5139,Commercial Footwear,,Tijorat poyafzallari,Коммерческая обувь
5169,Chemicals and Allied Products (Not Elsewhere Classified),,Kimyoviy va ittifoq mahsulotlari (boshqa joyda tasniflangan),Химикаты и союзные продукты (не классифицируются в других местах)
5172,Petroleum and Petroleum Products,,Neft va neft mahsulotlari,Нефтяная и нефтяная продукция
5192,"Books, Periodicals and Newspapers",,"Kitoblar, davriy nashrlar va gazetalar","Книги, периодические издания и газеты"
5193,"Florists Supplies, Nursery Stock and Flowers",,"Floristlar materiallari, bolalar bog'chasi va gullar","Флористы поставляются, питомник и цветы"
5198,"Paints, Varnishes and Supplies",,"Bo'yoqlar, laklar va materiallar","Краски, лаки и припасы"
5199,Nondurable Goods (Not Elsewhere Classified),,Numbaqli mahsulotlar (boshqa joyda tasniflangan emas),Незуманенные товары (не классифицируются в другом месте)
5200,Home Supply Warehouse Stores,,Uy ta'minotining ombori do'konlari,Складские магазины на дому
5211,Lumber and Building Materials Stores,,Yog'och va qurilish materiallari do'konlari,Пиломатериалы и строительные материалы
5231,"Glass, Paint, and Wallpaper Stores",,"Shisha, bo'yoq va devor qog'ozi do'konlari","Стеклянные, краски и обои магазины"
5251,Hardware Stores,,Apparat do'konlari,Аппаратные магазины
5261,Nurseries and Lawn and Garden Supply Stores,,Bolalar va mayyolar ta'minoti do'konlari,Питомники и магазины поставки газонов и сада
5262,Marketplaces,,Bozor,Рыночные площадки
5271,Mobile Home Dealers,,Mobil uy dilerlari,Дилеры мобильных домов
5300,Wholesale Clubs,,Ulgurji klublar,Оптовые клубы
5309,Duty Free Stores,,Bojsiz do'konlar,Duty Free Stores
5310,Discount Stores,,Chegir do'konlari,Дисконтные магазины
5311,Department Stores,,Kafedra do'konlari,Универмаги
5331,Variety Stores,,Turli xil do'konlar,Разнообразные магазины
5399,Miscellaneous General Merchandise,,Umumiy umumiy mahsulot,Разное общее товары
5411,Grocery Stores and Supermarkets,,Oziq-ovqat do'konlari va supermarketlar,Продуктовые магазины и супермаркеты
5422,Freezer and Locker Meat Provisioners,,Muzlatgich va echinish go'shti,Заказера -морозильник и шкаф
5441,"Candy, Nut, and Confectionery Stores",,"Konfet, yong'oq va qandolat mahsulotlari","Конфеты, ореховые и кондитерские магазины"
5451,Dairy Products Stores,,Sut mahsulotlari do'konlari,Молочные продукты магазины
5462,Bakeries,,Novvoyxonalar,Пекарни
5499,Miscellaneous Food Stores - Convenience Stores and Specialty Markets,,Oziq-ovqat do'konlari - qulayliklar va ixtisoslik bozorlari,Разное продовольственные магазины - магазины и специализированные рынки
5511,"Car and Truck Dealers (New and Used) Sales, Service, Repairs, Parts, and Leasing",,"Avtomobil va yuk mashinalari sotuvchilari (yangi va ishlatilgan) savdo, xizmat, ta'mirlash, ehtiyot qismlar va lizing","Дилеры автомобилей и грузовиков (новые и подержанные) Продажи, обслуживание, ремонт, запчасти и лизинг"
5521,"Car and Truck Dealers (Used Only) Sales, Service, Repairs, Parts, and Leasing",,"Avtomobil va yuk mashinalari sotuvchisi (faqat ishlatilgan) savdo, xizmat ko'rsatish, ta'mirlash, ehtiyot qismlar va lizing","Дилеры автомобилей и грузовиков (используются только) Продажи, обслуживание, ремонт, запчасти и лизинг"
5532,Automotive Tire Stores,,Avtomobil texnologiyasi,Автомобильные шинные магазины
5533,Automotive Parts and Accessories Stores,,Avtomobil ehtiyot qismlari va jihozlari,Автомобильные запчасти и аксессуары магазинов
5541,Service Stations (With or without Ancillary Services),,Xizmat stantsiyalari (yordami bilan yoki qo'shimcha xizmatlar bilan),Станции обслуживания (с или без вспомогательных услуг)
5542,Automated Fuel Dispensers,,Avtomatlashtirilgan yonilg'i quyish vositalari,Автоматизированный топливный дозаторы
5551,Boat Dealers,,Qayiq sotuvchilari,Лодочные торговцы
5552,Electric Vehicle Charging,,Elektr transport vositasi zaryadlash,Зарядка электромобилей
5561,"Camper, Recreational and Utility Trailer Dealers",,"Kamper, dam olish va kommunal xizmatchilar dilerlari","Кэмпер, развлекательные и коммунальные трейлеры дилеров"
5571,Motorcycle Shops and Dealers,,Mototsikl do'konlari va dilerlar,Мотоциклетные магазины и дилеры
5592,Motor Homes Dealers,,Motorli uylar dilerlari,Дилеры моторных домов
5598,Snowmobile Dealers,,Qor avtomobilining dilerlari,Дилеры снегоходов
5599,"Miscellaneous Automotive, Aircraft, and Farm Equipment Dealers (Not Elsewhere Classified)",,"Turli xil avtomobilsozlik, samolyotlar va ferma uskunalari dilerlari (boshqa joyda tasniflangan emas)","Разное, дилеры автомобилей, самолетов и сельскохозяйственного оборудования (ни в других местах классифицируются)"
5611,Men's and Boys' Clothing and Accessories Stores,,Erkaklar va O'g'ily kiyim-kechak va aksessuarlar do'konlari,Мужская и аксессуара для мужчин и мальчиков
5621,Women's Ready-To-Wear Stores ..,,Ayollar tayyor - kiyish do'konlari ..,Женские магазины готовой одежды ..
5631,Women's Accessory and Specialty Shops,,Ayollar aksessuari va mutaxassislik do'konlari,Женские аксессуары и специальные магазины
5641,Children's and Infants' Wear Stores,,Bolalar va go'daklar do'konlari do'konlari,Детские и младенческие магазины одежды
5651,Family Clothing Stores,,Oilaviy kiyim-kechak do'konlari,Семейная одежда магазинов
5655,Sports and Riding Apparel Stores,,Sport va minish yo'laklari do'konlari,Спортивные и верховые магазины одежды
5661,Shoe Stores,,Poyafzal do'konlari,Обувные магазины
5681,Furriers and Fur Shops,,Furries va mo'ynali do'konlar,Фурриеры и меховые магазины
5691,Men's and Women's Clothing Stores,,Erkaklar va ayollar kiyim-kechaklari do'konlari,Мужские и женские магазины одежды
5697,"Tailors, Seamstresses, Mending, and Alterations",,"Tikuvchilar, tikuvchilar, tuzatish va o'zgartirishlar","Портные, швеи, починка и изменения"
5698,Wig and Toupee Stores,,Wig va Toupee do'konlari,Магазины париков и toupee
5699,Miscellaneous Apparel and Accessory Shops,,Turli xil kiyim va aksessuar do'konlari,Разное магазины одежды и аксессуаров
5712,"Furniture, Home Furnishings, and Equipment Stores, Except Appliances",,"Mebel, Uy jihozlari va uskunalar do'konlari, jihozlardan tashqari","Мебель, домашняя мебель и магазины оборудования, кроме приборов"
5713,Floor Covering Stores,,Zamin qoplamasi do'konlari,Полное покрытие магазинов
5714,"Drapery, Window Covering, and Upholstery Stores",,"Draper, deraza qoplamalari va qoplamali do'konlar","Драпировка, окно -покрытие и обивки"
5718,"Fireplace, Fireplace Screens and Accessories Stores",,"Kamin, kamin ekranlari va jihozlar do'konlari","Камин, каминные экраны и магазины аксессуаров"
5719,Miscellaneous Home Furnishing Specialty Stores,,Turli xil uy jihozlari bo'yicha mutaxassislik do'konlari,Разное домашнее предоставление специальных магазинов
5722,Household Appliance Stores,,Uy jihozlari do'konlari,Магазины бытовых приборов
5732,Electronics Stores,,Elektron do'konlar,Электронные магазины
5733,"Music Stores - Musical Instruments, Pianos, and Sheet Music",,"Musiqa do'konlar - musiqa asboblari, pianino va varaq musiqasi","Музыкальные магазины - музыкальные инструменты, фортепиано и ноты"
5734,Computer Software Stores,,Kompyuter dasturiy do'konlari,Компьютерное программное обеспечение
5735,Record Stores,,Yozuv do'konlari,Записывающие магазины
5811,Caterers,,Tanturer,Поставщики
5812,Eating Places and Restaurants,,Ovqatlanish joylari va restoranlar,Места для еды и рестораны
5813,"Drinking Places (Alcoholic Beverages) - Bars, Taverns, Nightclubs, Cocktail Lounges, and Discotheques",,"Ichimlik joylari (alkogolli ichimliklar) - bar, tavernlar, tungi pallalar, kokteyllar, diskotekalar","Питье места (алкогольные напитки) - бары, таверны, ночные клубы, коктейльные залы и дискотека"
5814,Fast Food Restaurants,,Tez ovqatlanish restoranlari,Рестораны быстрого питания
5815,"Digital Goods Media - Books, Movies, Digital artwork/images, Music",,"Raqamli tovarlar media - Kitoblar, filmlar, raqamli asarlar, rasmlar, musiqa","Цифровые товары - книги, фильмы, цифровые работы/изображения, музыка"
5816,Digital Goods - Games,,Raqamli tovarlar - o'yinlar,Цифровые товары - игры
5817,Digital Goods - Applications (Excludes Games),,Raqamli tovarlar - arizalar (o'yinlar bundan mustasno),Цифровые товары - приложения (исключает игры)
5818,Digital Goods - Large Digital Goods Merchant,,Raqamli tovarlar - katta raqamli tovar savdogar,Цифровые товары - крупный торговец цифровыми товарами
5912,Drug Stores and Pharmacies,,Dorixonalar va dorixonalar,Аптеки и аптеки
5921,"Package Stores - Beer, Wine, and Liquor",,"Paketlar - pivo, sharob va likyor","Упаковочные магазины - пиво, вино и ликер"
5931,Used Merchandise and Secondhand Stores,,Ishlatilgan tovarlar va ikkinchi darajali do'konlar,Использовали товары и подержанные магазины
5932,"Antique Shops - Sales, Repairs, and Restoration Services",,"Antik do'konlar - sotish, ta'mirlash va tiklash xizmatlari","Служба антикварных магазинов - услуги по продажам, ремонту и восстановлению"
5933,Pawn Shops,,Garov do'konlari,Ломбарды
5935,Wrecking and Salvage Yards,,Vayronagarchilik va qutqarish hovlilari,Разрушение и спасение ярдов
5937,Antique Reproductions,,Antik repretsiyalar,Антикварные размножения
5940,Bicycle Shops - Sales and Service,,Velosiped do'konlari - Savdo va xizmat ko'rsatish,Велосипедные магазины - продажи и обслуживание
5941,Sporting Goods Stores,,Sport buyumlari do'konlari,Спортивные товары магазинов
5942,Book Stores,,Kitob do'konlari,Книжные магазины
5943,"Stationery Stores, Office and School Supply Stores",,"Kantselyariya do'konlari, Office va Maktab ta'minoti do'konlari","Магазины канцелярских товаров, офисные и школьные снабжения"
5944,"Jewelry Stores, Watches, Clocks, and Silverware Stores",,"Zargarlik buyumlari, soatlar, soatlar va kumush buyumlar do'konlari","Ювелирные магазины, часы, часы и магазины серебра"
5945,"Hobby, Toy, and Game Shops",,"Xobbi, o'yinchoq va o'yin do'konlari","Хобби, игрушка и игровые магазины"
5946,Camera and Photographic Supply Stores,,Kamera va fotosuratlar savdo do'konlari,Камера и фотопроводные магазины
5947,"Gift, Card, Novelty and Souvenir Shops",,"Sovg'a, kartani, yangtoy va yodgorlik do'konlari","Подарки, карта, новинка и сувенирные магазины"
5948,Luggage and Leather Goods Stores,,Bagaj va charm buyumlari,Магазины багажа и кожи
5949,"Sewing, Needlework, Fabric and Piece Goods Stores",,"Tikuv, tikuvchilik, mato va buyumlar do'konlari","Шитье, рукоделие, ткани и кусочки товаров магазины"
5950,Glassware/Crystal Stores,,Shisha dasturlar / kristalli do'konlar,Стеклянные/хрустальные магазины
5960,Direct Marketing - Insurance Services,,To'g'ridan-to'g'ri marketing - sug'urta xizmatlari,Прямой маркетинг - страховые услуги
5962,Direct Marketing - Travel-Related Arrangement Services,,To'g'ridan-to'g'ri marketing - sayohat bilan bog'liq bo'lib xizmat ko'rsatish xizmatlari,"Прямой маркетинг - услуги по договоренности, связанные с поездками"
5963,Door-To-Door Sales,,Eshikning uyma-uy savdosi,Продажи двери до двери
5964,Direct Marketing - Catalog Merchant,,To'g'ridan-to'g'ri marketing - Katalog savdogar,Прямой маркетинг - продавец каталога
5965,Direct Marketing - Combination Catalog and Retail Merchant,,To'g'ridan-to'g'ri marketing - kombinatsiya katalog va chakana savdogar,Прямой маркетинг - комбинированный каталог и торговец розничной торговлей
5966,Direct Marketing - Outbound Telemarketing Merchant,,To'g'ridan-to'g'ri marketing - Chiquvchi Telemarketing savdosi,Прямой маркетинг - Источный торговец телемаркетингом
5967,Direct Marketing - Inbound Teleservices Merchant,,To'g'ridan-to'g'ri marketing - inberserervices savdogar,Прямой маркетинг - входящий торговец телсервисами
5968,Direct Marketing - Continuity/Subscription Merchant,,To'g'ridan-to'g'ri marketing - uzluksizlik / abonent savdogar,Прямой маркетинг - торговец непрерывностью/подпиской
5969,Direct Marketing - Other Direct Marketers (Not Elsewhere Classified),,To'g'ridan-to'g'ri marketing - boshqa to'g'ridan-to'g'ri marketerlar (boshqa joyda tasniflangan emas),Прямой маркетинг - другие прямые маркетологи (не классифицируются в других местах)
5970,Artist's Supply and Craft Shops,,Rassomning ta'minoti va hunarmandchilik do'konlari,Магазины снабжения художника и ремесленника
5971,Art Dealers and Galleries,,Badiiy dilerlar va galereyalar,Художественные дилеры и галереи
5972,Stamp and Coin Stores,,Shtamp va tanga do'konlari,Магазины штампов и монет
5973,Religious Goods Stores,,Diniy buyumlar do'konlari,Религиозные товары магазины
5975,"Hearing Aids - Sales, Service, and Supply",,"Eshitish, sotish, xizmat ko'rsatish va ta'minot","Слуховые аппараты - продажи, обслуживание и поставка"
5976,Orthopedic Goods - Prosthetic Devices,,Ortopedik buyumlar - protez qurilmalar,Ортопедические товары - протезные устройства
5977,Cosmetic Stores,,Kosmetik do'konlar,Косметические магазины
5978,"Typewriter Stores - Sales, Rentals, and Service",,"Yozuv mashinkasi - sotish, ijaralar va xizmat ko'rsatish","Магазины пишущей машинки - продажи, аренда и обслуживание"
5983,"Fuel Dealers - Fuel Oil, Wood, Coal, and Liquefied Petroleum",,"Yoqilg'i sotuvchilari - yoqilg'i moyi, yog'och, ko'mir va suyultirilgan neft","Дилеры топлива - мазут, древесина, уголь и нефть сжиженной нефти."
5992,Florists,,Floristlar,Флористы
5993,Cigar Stores and Stands,,Sigaret do'konlari va stendlar,Сигарные магазины и стенды
5994,News Dealers and Newsstands,,Yangiliklar va yangiliklar dasturlari,Новости и газетные киоски
5995,"Pet Shops, Pet Foods and Supplies Stores",,"Uy hayvonlari do'konlari, uy hayvonlari ovqatlari va materiallar do'konlari","Домашние магазины, домашние корма и материалы"
5996,Swimming Pools - Sales and Service,,Basseynlar - sotish va xizmat ko'rsatish,Бассейны - продажи и обслуживание
5997,Electric Razor Stores - Sales and Service,,Elektr storllar - Savdo va xizmat ko'rsatish,Электрические магазины бритвы - продажи и обслуживание
5998,Tent and Awning Shops,,Chodir va ochmoq do'konlari,Палатка и ввесы
5999,Miscellaneous and Specialty Retail Shops,,Turli xil va maxsus chakana savdo do'konlari,Разное и специализированные розничные магазины
6010,Financial Institutions - Manual Cash Disbursements,,Moliyaviy institutlar - qo'llanma naqd pullar,Финансовые учреждения - ручные денежные выплаты
6011,Financial Institutions - Automated Cash Disbursements,,Moliyaviy institutlar - avtomatlashtirilgan naqd pullar,Финансовые учреждения - автоматические денежные выплаты
6012,"Financial Institutions - Merchandise, Services, and Debt Repayment",,"Moliyaviy institutlar - savdo, xizmatlar va qarzni to'lash","Финансовые учреждения - товары, услуги и погашение долга"
6051,"Non-Financial Institutions - Foreign Currency, Non-Fiat Currency (for example: Cryptocurrency), Money Orders (Not Money Transfer), Account Funding (not Stored Value Load), Travelers Cheques, and Debt Repayment",,"Moliyaviy bo'lmagan institutlar - xorijiy valyuta, Fiatlyatsiya valyutasi (masalan: Cyptocurrenction), pul o'tkazmasi (pul o'tkazmasi emas), hisobni saqlash, sayohatchilar va qarzni to'lash","Нефинансовые учреждения-иностранная валюта, нетоковая валюта (например: криптовалюта), денежные переводы (не денежные переводы), финансирование счета (не хранящаяся стоимость), чеки путешественников и погашение долга"
6211,Security Brokers/Dealers,,Xavfsizlik brokerlari / dilerlari,Брокеры безопасности/дилеры
6300,"Insurance Sales, Underwriting, and Premiums",,"Sug'urta savdosi, anderrayting va mukofotlar","Страховые продажи, андеррайтинг и премии"
6513,Real Estate Agents and Managers,,Ko'chmas mulk agentlari va menejerlar,Агенты и менеджеры по недвижимости
6540,Non-Financial Institutions - Stored Value Card Purchase/Load,,Moliyaviy bo'lmagan institutlar - saqlanadigan qiymat kartasini sotib olish / yuk,Нефинансовые учреждения - покупка/загрузка карты сохраненной стоимости
7011,"Lodging - Hotels, Motels, Resorts, Central Reservation Services (Not Elsewhere Classified)",,"Uyg'urlar - mehmonxonalar, motellar, kurortlar, Markaziy zaxiralar xizmatlari (boshqa joyda tasniflangan emas)","Проживание - отели, мотели, курорты, центральные услуги резервирования (ни в других местах классифицированы)"
7012,Timeshares,,Vaqtinchalik,Таймшеры
7032,Sporting and Recreational Camps,,Sport va damlama lagerlari,Спортивные и развлекательные лагеря
7033,Trailer Parks and Campgrounds,,Treyler bog'lari va lagerlar,Трейлерные парки и кемпинги
7210,"Laundry, Cleaning, and Garment Services",,"Kir yuvish, tozalash va tikuv xizmatlari","Служба стирки, уборки и одежды"
7211,Laundries - Family and Commercial,,Kirxonalar - Oila va tijorat,Прачечные - семья и коммерческие
7216,Dry Cleaners,,Quruq tozalagichlar,Сухой чистки
7217,Carpet and Upholstery Cleaning,,Gilam va qoplamali tozalash,Ковер и обивка
7221,Photographic Studios,,Fotosuratlar,Фото студий
7230,Beauty and Barber Shops,,Go'zallik va sartaroshxonalar,Красота и парикмахерские
7251,"Shoe Repair Shops, Shoeshine Parlors, and Hat Cleaning Shops",,"Poyafzal ta'mirlash sexlari, shoeshinin saltlari va shlyapa tozalash do'konlari","Магазины ремонта обуви, салоны Shoeshine и магазины очистки шляп"
7261,Funeral Services and Crematories,,Janoza xizmatlari va krematiya,Похоронные услуги и крематории
7273,Dating Services,,Tanishuv xizmatlari,Службы знакомств
7276,Tax Preparation Services,,Soliqlarni tayyorlash xizmatlari,Услуги подготовки налогов
7277,"Counseling Services - Debt, Marriage, and Personal",,"Maslahat xizmati - Qarz, nikoh va shaxsiy","Консультационные услуги - долг, брак и личные"
7278,Buying and Shopping Services and Clubs,,Xarid qilish va xaridlar va klublar,Покупка и покупки и клубы
7296,"Clothing Rental - Costumes, Uniforms, Formal Wear",,"Kiyim ijarasi - kostyumlar, forma, rasmiy kiyim","Прокат одежды - костюмы, униформа, формальная одежда"
7297,Massage Parlors,,Massaj xonalari,Массажные салоны
7298,Health and Beauty Spas,,Salomatlik va go'zallik spaas,Здоровье и красота
7299,Miscellaneous Personal Services (Not Elsewhere Classified),,Turli xil shaxsiy xizmatlar (boshqa joyda tasniflangan emas),Разные личные услуги (не классифицируются в других местах)
7311,Advertising Services,,Reklama xizmatlari,Рекламные услуги
7321,Consumer Credit Reporting Agencies,,Iste'mol krediti bo'yicha hisobot agentliklari,Агентства по отчетности по кредитным кредитам
7322,Collection Agencies,,To'plash agentliklari,Сборные агентства
7333,"Commercial Photography, Art, and Graphics",,"Tijorat fotosuratlari, san'at va grafika","Коммерческая фотография, искусство и графика"
7338,"Quick Copy, Reproduction, and Blueprinting Services",,"Tez nusxalash, ko'payish va chizish xizmatlari","Быстрая копия, воспроизводство и платежи"
7339,Stenographic and Secretarial Support,,Stenografik va kotibiyatni qo'llab-quvvatlash,Стенографическая и секретарская поддержка
7342,Exterminating and Disinfecting Services,,Yo'q qilish va dezinfektsiyalash xizmatlari,Истребление и дезинфицирующие услуги
7349,"Cleaning, Maintenance, and Janitorial Services",,"Tozalash, texnik xizmat ko'rsatish va naanohlar","Очистка, техническое обслуживание и уборочные услуги"
7361,Employment Agencies and Temporary Help Services,,Bandlik agentliklari va vaqtincha yordam xizmatlari,Агентства по трудоустройству и временная помощь
7372,"Computer Programming, Data Processing, and Integrated Systems Design Services",,"Kompyuterni dasturlash, ma'lumotlarni qayta ishlash va integratsiyalashgan tizimlarni loyihalash xizmatlari","Компьютерное программирование, обработка данных и интегрированные системы проектирования систем"
7375,Information Retrieval Services,,Axborotni olish xizmatlari,Службы поиска информации
7379,"Computer Maintenance, Repair and Services (Not Elsewhere Classified)",,"Kompyuter texnikasi, ta'mirlash va xizmatlar (boshqa joyda tasniflangan emas)","Техническое обслуживание, ремонт и услуги компьютера (не классифицировано в других местах)"
7392,"Management, Consulting, and Public Relations Services",,"Boshqaruv, konsultatsiya va jamoatchilik bilan aloqalar","Услуги по управлению, консалтингу и связям с общественностью"
7393,"Detective Agencies, Protective Services, and Security Services, including Armored Cars, and Guard Dogs",,"Detektiv agentliklar, himoya xizmatlari va xavfsizlik xizmatlari, shu jumladan zirhli avtomobillar va soqchilar itlari","Детективные агентства, защитные услуги и службы безопасности, включая бронированные автомобили, и охраняемые собаки"
7394,"Equipment, Tool, Furniture, and Appliance Rental and Leasing",,"Uskunalar, asbob, mebel va jihozni ijaraga berish va lizing","Оборудование, инструмент, мебель, а также аренда устройств и лизинг"
7395,Photofinishing Laboratories and Photo Developing,,Fotofinlashtirish laboratoriyalari va fotosurat rivojlanmoqda,Фотофинансирующие лаборатории и разработка фото
7399,Business Services (Not Elsewhere Classified),,Biznes xizmatlari (boshqa joyda tasniflangan emas),Бизнес -услуги (не в других местах классифицированы)
7512,Automobile Rental Agency,,Avtomobillarni ijaraga olish agentligi,Агентство по прокату автомобилей
7513,Truck and Utility Trailer Rentals,,Yuk mashinasi va kommunal retser ijarasi,Аренда грузовых и коммунальных прицепов
7519,Motor Home and Recreational Vehicle Rentals,,Avtomobil uyi va dam olish avtomobilsining ijarasi,Дом на автостоянках и развлекательную аренду транспортных средств
7523,"Parking Lots, Parking Meters and Garages",,"Avtomobillarni to'xtash joylari, Avtomobillar va Garajlar","Парковки, парковочные счетчики и гаражи"
7531,Automotive Body Repair Shops,,Avtomobilni ta'mirlash bo'yicha mutaxassislar,Автомобильные мастерские ремонта кузова
7534,Tire Retreading and Repair Shops,,Shinani qayta ishlash va ta'mirlash do'konlari,Магазины ретресса и ремонта шин
7535,Automotive Paint Shops,,Avtomobillar uchun bo'yoq do'konlari,Автомобильные мастерские
7538,Automotive Service Shops (Non-Dealer),,Avtomobillarga xizmat ko'rsatish do'konlari (diler bo'lmagan),Автомобильные сервисные магазины (не дилер)
7542,Car Washes,,Avtomobil yuvish,Автомобильные стирки
7549,Towing Services,,Exish xizmatlari,Буксирные услуги
7622,Electronics Repair Shops,,Electronicik ta'mirlash do'konlari,Электронные ремонтные мастерские
7623,Air Conditioning and Refrigeration Repair Shops,,Konditsioner va sovutishni ta'mirlash sexlari,Кондиционирование и ремонтные магазины охлаждения
7629,Electrical and Small Appliance Repair Shops,,Elektr va kichik jihozlar ta'mirlash sexlari,Электрические и небольшие ремонтные мастерские
7631,"Watch, Clock and Jewelry Repair",,"Watch, soat va zargarlik buyumlarini ta'mirlash","Смотреть, часы и ювелирные изделия"
7641,"Furniture - Reupholstery, Repair, and Refinishing",,"Mebel - qayta tiklash, ta'mirlash va qayta tiklash","Мебель - ревфолстера, ремонт и ремонт"
7692,Welding Services,,Payvandlash xizmatlari,Сварные услуги
7699,Miscellaneous Repair Shops and Related Services,,Turli xil ta'mirlash do'konlari va tegishli xizmatlar,Разное ремонтные мастерские и связанные с ними услуги
7800,Government-Owned Lotteries (US Region only),,Hukumat tomonidan ishlab chiqarilgan loterlar (AQSh viloyati),Государственные лотереи (только регион США)
7801,Government Licensed On-Line Casinos (On-Line Gambling) (US Region only),,Hukumat litsenziyalangan onlayn kazinolar (Onlayn qimor) (AQSh viloyati),Государственные лицензированные онлайн -казино (азартные игры в Интернете) (только в США)
7802,Government-Licensed Horse/Dog Racing (US Region only),,Hukumat tomonidan litsenziyalangan ot / it poygasi (AQSh viloyati),Лицензированные правительством скачки/гонки на собаках (только в США)
7829,Motion Picture and Video Tape Production and Distribution,,Motion Rasm va video lenta ishlab chiqarish va tarqatish,Производство и распространение кинофильмы и видеосвязан
7832,Motion Picture Theaters,,Motion Teatr teatrlari,Кинотеатры
7841,DVD/Video Tape Rental Stores,,DVD / video lenta savdo do'konlari,DVD/Video Tape Rental Stores
7911,"Dance Halls, Studios and Schools",,"Raqs zallari, studiyalar va maktablar","Танцевальные залы, студии и школы"
7922,Ticket Agencies and Theatrical Producers (Except Motion Pictures),,Chiptalar agentliklari va teatr ishlab chiqaruvchilari (kinda rasmlardan tashqari),Билетные агентства и театральные продюсеры (кроме кинофильмов)
7929,"Bands, Orchestras, and Miscellaneous Entertainers (Not Elsewhere Classified)",,"Bands, orkestrlar va turli xil ko'ngilocharlar (boshqa joyda tasniflangan)","Группы, оркестры и разные артисты (не классифицированы в других местах)"
7932,Billiard and Pool Establishments,,Billord va basseyd muassasalari,Бильярд и пул заведения
7933,Bowling Alleys,,Bouling xiyobonlari,Боулинг -переулки
