MCC,DESCRIPTION,MASTERCARD_ABBREVIATED_AIRLINE_NAME,DESCRIPTION_UZ,DESCRIPTION_RU
5331,Variety Stores,,Turli xil do'konlar,Разнообразные магазины
5399,Miscellaneous General Merchandise Stores,,Umumiy umumiy mahsulotlar do'konlari,Разное общие товары магазины
5411,"Grocery Stores, Supermarkets",,"Oziq-ovqat do'konlari, supermarketlar","Продуктовые магазины, супермаркеты"
5422,"Freezer, Locker Meat Provisioners",,"Muzlatgich, echinish mashinasi","Морозильник, шкафчик -мясник"
5441,"Candy, Nut, Confectionery Stores",,"Konfet, Yong'oq, qandolat mahsulotlari do'konlari","Конфеты, ореховые, кондитерские магазины"
5451,Dairy Products Stores,,Sut mahsulotlari do'konlari,Молочные продукты магазины
5462,Bakeries,,Novvoyxonalar,Пекарни
5499,"Miscellaneous Food Stores: Convenience Stores, Markets, Specialty Stores",,"Oziq-ovqat do'konlari: qulaylik do'konlari, bozorlar, mutaxassislik do'konlari","Разное продовольственные магазины: магазины, рынки, специализированные магазины"
5511,"Automobile and Truck Dealers: Sales, Service, Repairs, Parts, and Leasing",,"Avtomobil va yuk mashinalari: savdo, xizmat ko'rsatish, ta'mirlash, ehtiyot qismlar va lizing","Автомобильные и грузовые дилеры: продажи, обслуживание, ремонт, запчасти и лизинг"
5521,Automobile and Truck Dealers: (Used Only): Sales,,Avtomobil va yuk mashinalari dilerlari: (faqat ishlatiladi): savdo,Дилеры автомобилей и грузовиков: (только используется): продажи
5531,"Auto Store, Home Supply Stores",,"Avtomatik do'kon, uy ta'minoti do'konlari","Авто магазин, магазины поставки дома"
5532,Automotive Tire Stores,,Avtomobil texnologiyasi,Автомобильные шинные магазины
5533,"Automotive Parts, Accessories Stores",,"Avtomobil ehtiyot qismlari, aksessuarlar do'konlari","Автомобильные детали, аксессуальные магазины"
5541,Service Stations (with or without Ancillary Services),,Xizmat stantsiyalari (yordami bilan yoki qo'shimcha xizmatlar bilan),Станции обслуживания (с или без вспомогательных услуг)
5542,"Fuel Dispenser, Automated",,"Yoqilg'i dispenseri, avtomatlashtirilgan","Топливный диспенсер, автоматизированный"
5551,Boat Dealers,,Qayiq sotuvchilari,Лодочные торговцы
5552,Electric Vehicle Charging,,Elektr transport vositasi zaryadlash,Зарядка электромобилей
5561,"Camper Dealers, Recreational and Utility Trailers",,"Kamera dilerlari, dam olish va kommunal dasturlar","Дилеры туристов, рекреационные и коммунальные трейлеры"
5571,Motorcycle Shops and Dealers,,Mototsikl do'konlari va dilerlar,Мотоциклетные магазины и дилеры
5592,Motor Home Dealers,,Motorom uy dilerlari,Домашние дилеры на мотоцикле
5598,Snowmobile Dealers,,Qor avtomobilining dilerlari,Дилеры снегоходов
5599,"Miscellaneous Automotive, Aircraft, and Farm Equipment Dealers: not elsewhere classified",,"Turli xil avtomobilsozlik, samolyotlar va ferma uskunalari dilerlari: boshqa joyda tasniflangan","Разное автомобильное, самолеты и сельскохозяйственное оборудование дилеров: ни в других местах классифицируется"
5611,Men's and Boys' Clothing and Accessories Stores,,Erkaklar va O'g'ily kiyim-kechak va aksessuarlar do'konlari,Мужская и аксессуара для мужчин и мальчиков
5621,Women's Ready to Wear Stores,,Ayollar do'konlar kiyishga tayyor,Женщины готовы носить магазины
5631,Women's Accessory and Specialty Stores,,Ayollar uchun aksessuar va mutaxassislik do'konlari,Женские аксессуары и специализированные магазины
5641,Children's and Infants' Wear Stores,,Bolalar va go'daklar do'konlari do'konlari,Детские и младенческие магазины одежды
5651,Family Clothing Stores,,Oilaviy kiyim-kechak do'konlari,Семейная одежда магазинов
5655,"Sports Apparel, Riding Apparel Stores",,"Sport kiyimlari, minish yo'laklari","Спортивная одежда, магазины одежды для верховой езды"
5661,Shoe Stores,,Poyafzal do'konlari,Обувные магазины
5681,Furriers and Fur Shops,,Furries va mo'ynali do'konlar,Фурриеры и меховые магазины
5691,Men's and Women's Clothing Stores,,Erkaklar va ayollar kiyim-kechaklari do'konlari,Мужские и женские магазины одежды
5697,"Alterations, Mending, Seamstresses, Tailors",,"O'zgartirish, tuzatish, tikuvchi, tikuvchi vosita","Изменения, починка, швеи, портные"
5698,Wig and Toupee Shops,,Wig va Toupee do'konlari,Магазины париков и париков
5699,Accessory and Apparel Stores: Miscellaneous,,Aksessuar va kiyim-kechak do'konlari: Turli xil,Магазины аксессуаров и одежды: Разное
5712,"Equipment, Furniture, and Home Furnishings Stores (except Appliances)",,"Uskunalar, mebel va uy jihozlari Sog'lar","Оборудование, мебель и домашняя мебель магазинов (кроме приборов)"
5713,Floor Covering Stores,,Zamin qoplamasi do'konlari,Полное покрытие магазинов
5714,"Drapery, Upholstery, and Window Coverings Stores",,"Drapererlik, qoplama va deraza qoplamalari","Магазины драпировки, обивка и оконные покрытия"
5718,"Fireplace, Fireplace Screens and Accessories Stores",,"Kamin, kamin ekranlari va jihozlar do'konlari","Камин, каминные экраны и магазины аксессуаров"
5719,Miscellaneous House Furnishing Specialty Shops,,Turli xil uylar Ixtisos ixtisosliklar do'koni,Разное домашнее предоставление специальных магазинов
5722,Household Appliance Stores,,Uy jihozlari do'konlari,Магазины бытовых приборов
5732,Electronic Sales,,Elektron savdolar,Электронные продажи
5733,"Music Stores: Musical Instruments, Pianos, Sheet Music",,"Musiqa do'konlari: Musiqiy asboblar, pianinolar, varaq musiqasi","Музыкальные магазины: музыкальные инструменты, фортепиано, ноты"
5734,Computer Software Stores,,Kompyuter dasturiy do'konlari,Компьютерное программное обеспечение
5735,Record Shops,,Yozuv do'konlari,Записывающие магазины
5811,Caterers,,Tanturer,Поставщики
5812,"Eating Places, Restaurants",,"Ovqatlanish joylari, restoranlar","Места для еды, рестораны"
5813,"Bars, Cocktail Lounges, Discotheques, Nightclubs, and Taverns: Drinking Places (Alcoholic Beverages)",,"Barlar, kokteyllar, diskoteka, tungi klublar va Taverns: ichimlik joylari (alkogolli ichimliklar)","Бары, коктейльные залы, дискотекалы, ночные клубы и таверны: места питья (алкогольные напитки)"
5814,Fast Food Restaurants,,Tez ovqatlanish restoranlari,Рестораны быстрого питания
5815,"Digital Goods: Audiovisual Media Including Books, Movies, and Music",,"Raqamli tovarlar: audiovizual media, shu jumladan kitoblar, filmlar va musiqa","Цифровые товары: аудиовизуальные медиа, включая книги, фильмы и музыку"
5816,Digital Goods: Games,,Raqamli tovarlar: o'yinlar,Цифровые товары: игры
5817,Digital Goods: Software Applications (Excluding Games),,Raqamli tovarlar: dasturiy ta'minot (o'yinlardan tashqari),Цифровые товары: программные приложения (без учета игр)
5818,Digital Goods: Multi-Category,,Raqamli tovarlar: ko'p toifali,Цифровые товары: многокатегория
5912,"Drug Stores, Pharmacies",,"Dorixonalar, dorixonalar","Аптеки, аптеки"
5921,"Package Stores, Beer, Wine, and Liquor",,"Paketlar, pivo, sharob va likyor","Пакетные магазины, пиво, вино и ликер"
5931,"Second Hand Stores, Used Merchandise Stores",,"Ikkinchi qo'l do'konlari, mahsulotlar savdo do'konlari","Магазины по второй руке, использованные товары магазины"
5932,"Antique Shops: Sales, Repairs, and Restoration Services",,"Antik do'konlar: Savdo, ta'mirlash va tiklash xizmatlari","Служба антикварных магазинов: продажи, ремонт и реставрация"
5933,Pawn Shops,,Garov do'konlari,Ломбарды
5935,Salvage and Wrecking Yards,,Nafas olish va vayron bo'lgan hovlilar,Спасение и разрушительные дворы
5937,Antique Reproduction Stores,,Antik takrorlash do'konlari,Античные магазины воспроизводства
5940,Bicycle Shops: Sales and Service,,Velosiped do'konlari: Savdo va xizmat ko'rsatish,Велосипедные магазины: продажи и обслуживание
5941,Sporting Goods Stores,,Sport buyumlari do'konlari,Спортивные товары магазинов
5942,Book Stores,,Kitob do'konlari,Книжные магазины
5943,"Office, School Supply, and Stationery Stores",,"Ofis, Maktab ta'minoti va Kantselyariya do'konlari","Офис, школьные и канцелярские магазины"
5944,"Clock, Jewelry, Watch, and Silverware Store",,"Soat, zargarlik buyumlari, soatlar va kumush buyumlar do'koni","Часы, ювелирные изделия, часы и магазин серебра"
5945,"Game, Toy, and Hobby Shops",,"O'yin, o'yinchoq va sevimli mashg'ulotlar","Game, Toy и Hobby Shops"
5946,Camera and Photographic Supply Stores,,Kamera va fotosuratlar savdo do'konlari,Камера и фотопроводные магазины
5947,"Card, Gift, Novelty, and Souvenir Shops",,"Karta, sovg'alar, yangilik va yodgor savdo do'konlari","Карточка, подарок, новинка и сувенирные магазины"
5948,Leather Goods and Luggage Stores,,Charm buyumlar va yuklar do'konlari,Кожаные изделия и багажные магазины
5949,"Fabric, Needlework, Piece Goods, and Sewing Stores",,"Mato, ignabargichlar, buyumlar va tikuv do'konlari","Ткань, рукоделия, кусочки и швейные магазины"
5950,Crystal and Glassware Stores,,Kristalli va shisha buyumlar do'konlari,Хрустальные и стеклянные магазины
5960,Direct Marketing: Insurance Services,,To'g'ridan-to'g'ri marketing: sug'urta xizmatlari,Прямой маркетинг: страховые услуги
5962,Direct Marketing: Travel-Related Arrangement Services,,To'g'ridan-to'g'ri marketing: sayohat bilan bog'liq bo'lib xizmat ko'rsatish xizmatlari,Прямой маркетинг: связанные с поездками услуги по договоренности
5963,Door-to-Door Sales,,Eshikning uyma-uy savdosi,Продажи двери до двери
5964,Direct Marketing: Catalog Merchants,,To'g'ridan-to'g'ri marketing: Katalog savdogarlari,Прямой маркетинг: торговцы каталогами
5965,Direct Marketing: Combination Catalog and Retail Merchants,,To'g'ridan-to'g'ri marketing: qo'shilish katalogi va chakana savdogarlar,Прямой маркетинг: комбинированный каталог и торговцы розничными торговцами
5966,Direct Marketing: Outbound Telemarketing Merchants,,To'g'ridan-to'g'ri marketing: Telemarketing savdogarlari,Прямой маркетинг: исходящие торговцы телемаркетингом
5967,Direct Marketing: Inbound Telemarketing Merchants,,To'g'ridan-to'g'ri marketing: Telemarketing savdogarlari,Прямой маркетинг: входящие торговцы телемаркетингом
5968,Direct Marketing: Continuity/Subscription Merchants,,To'g'ridan-to'g'ri marketing: uzluksizlik / obuna savdochilari,Прямой маркетинг: торговцы непрерывностью/подпиской
5969,Direct Marketing: Other Direct Marketers: not elsewhere classified,,To'g'ridan-to'g'ri marketing: Boshqa to'g'ridan-to'g'ri marketerlar: boshqa joyda tasniflangan emas,Прямой маркетинг: другие прямые маркетологи: не в других местах классифицируются
5970,"Artist Supply Stores, Craft Shops",,"Rassom etkazib beradi do'konlar, hunarmandchilik do'konlari","Магазины снабжения художников, ремесленные магазины"
5971,Art Dealers and Galleries,,Badiiy dilerlar va galereyalar,Художественные дилеры и галереи
5972,Stamp and Coin Stores: Philatelic and Numismatic Supplies,,Shtamp va tanga do'konlari: Filiat va Numizmatika ta'minotlari,Магазины штампов и монет: филателистические и нумизматические принадлежности
5973,Religious Goods Stores,,Diniy buyumlar do'konlari,Религиозные товары магазины
5975,"Hearing Aids: Sales, Service, Supply Stores",,"Eshitish vositasi: Savdo, xizmat ko'rsatish, ta'minot do'konlari","Слуховые аппараты: продажи, обслуживание, магазины снабжения"
5976,Orthopedic Goods: Artificial Limb Stores,,Ortopedik mollar: Sun'iy oyoq do'konlari,Ортопедические товары: магазины искусственных конечностей
5977,Cosmetic Stores,,Kosmetik do'konlar,Косметические магазины
5978,"Typewriter Stores: Rentals, Sales, Service",,"Yozuv mashinkasi savdolari: Ichming, savdo, xizmat ko'rsatish","Магазины пишущей машинки: аренда, продажи, обслуживание"
5983,"Fuel Dealers: Coal, Fuel Oil, Liquefied Petroleum, Wood",,"Yoqilg'i sotuvchilari: ko'mir, yoqilg'i moyi, suyultirilgan neft, yog'och","Дилеры топлива: уголь, масла, сжиженная нефть, древесина"
5992,Florists,,Floristlar,Флористы
5993,Cigar Stores and Stands,,Sigaret do'konlari va stendlar,Сигарные магазины и стенды
5994,News Dealers and Newsstands,,Yangiliklar va yangiliklar dasturlari,Новости и газетные киоски
5995,Pet Shops: Pet Food and Supplies,,Uy hayvonlari do'konlari: Uy hayvonlari oziq-ovqat va materiallar,Домашние магазины: корм для домашних животных и припасы
5996,Swimming Pools: Sales and Supplies,,Basseynlar: savdo va materiallar,Бассейны: продажи и расходные материалы
5997,Electric Razor Stores: Sales and Service,,Elektr qatnovi: Savdo va xizmat ko'rsatish,Электрические магазины бритвы: продажи и обслуживание
5998,Tent and Awning Shops,,Chodir va ochmoq do'konlari,Палатка и ввесы
5999,Miscellaneous and Specialty Retail Stores,,Turli xil va ixtisoslashgan savdo do'konlari,Разное и специализированные розничные магазины
6010,Manual Cash Disbursements: Customer Financial Institution,,Qo'lda pul mablag'lari: Mijozlar moliya instituti,Ручные денежные выплаты: финансовое учреждение клиентов
6011,Automated Cash Disbursements: Customer Financial Institution,,Avtomatlashtirilgan pul mablag'lari: Mijozlar moliya instituti,Автоматизированные денежные выплаты: финансовое учреждение клиентов
6012,Merchandise and Services: Customer Financial Institution,,Savdo va xizmatlar: Mijozlar moliya instituti,Товары и услуги: финансовое учреждение клиентов
6050,Quasi Cash: Customer Financial Institution,,Quasi Naqd pul: Mijoz moliyaviy instituti,Квази наличные: финансовое учреждение клиентов
6051,Quasi Cash: Merchant,,Quasi naqd pullari: savdogar,Quasi Cash: торговец
6211,Securities: Brokers/Dealers,,Qimmatli qog'ozlar: brokerlar / dilerlar,Ценные бумаги: брокеры/дилеры
6300,"Insurance Sales, Underwriting, and Premiums",,"Sug'urta savdosi, anderrayting va mukofotlar","Страховые продажи, андеррайтинг и премии"
6513,Real Estate Agents and Managers: Rentals,,Ko'chmas mulk agentlari va menejerlar: Ijara berish,Агенты и менеджеры по недвижимости: аренда
6532,Payment Transaction: Customer Financial Institution,,To'lov operatsiyalari: Mijoz moliya instituti,Платежная транзакция: финансовое учреждение клиента
6533,Payment Transaction: Merchant,,To'lov operatsiyalari: savdogar,Платежная транзакция: торговец
6536,MoneySend Intracountry,,Moneysentsencentsendlar,Moneysend Intracountry
6537,MoneySend Intercountry,,Pul o'tkazmalari,MoneySend Intercountry
6538,Funding Transactions for MoneySend,,MoneySender uchun operatsiyalarni moliyalashtirish,Финансирование транзакций для MoneySend
6540,Funding Transactions,,Moliyalashtirish operatsiyalari,Финансирование транзакций
7011,"Lodging: Hotels, Motels, Resorts: not elsewhere classified",,"Yashash joyi: Mehmonxonalar, motellar, kurortlar: boshqa joyda tasniflangan","Проживание: отели, мотели, курорты: не в других местах классифицируется"
7012,Timeshares,,Vaqtinchalik,Таймшеры
7032,Recreational and Sporting Camps,,Dam olish va sport lageri,Развлекательные и спортивные лагеря
7033,Campgrounds and Trailer Parks,,Lager va treyler parklari,Кемпинги и трейлерные парки
7210,"Cleaning, Garment, and Laundry Services",,"Tozalash, tikish va kir yuvish xizmatlari","Услуги по уборке, одежде и прачечной"
7211,Laundry Services: Family and Commercial,,Kir yuvish xizmatlari: oila va tijorat,Служба прачечной: семейная и коммерческая
7216,Dry Cleaners,,Quruq tozalagichlar,Сухой чистки
7217,Carpet and Upholstery Cleaning,,Gilam va qoplamali tozalash,Ковер и обивка
7221,Photographic Studios,,Fotosuratlar,Фото студий
7230,Barber and Beauty Shops,,Sartarosh va go'zallik do'konlari,Парикмахерские и красоты
7251,"Hat Cleaning Shops, Shoe Repair Shops, Shoe Shine Parlors",,"Shapka tozalash do'konlari, poyafzal ta'mirlash sexlari, poyafzal porlash zallari","Магазины очистки шляп, мастерские по ремонту обуви, салоны для обуви"
7261,Funeral Service and Crematories,,Dafn xizmati va krematiyalar,Похоронные услуги и крематории
7273,Dating Services,,Tanishuv xizmatlari,Службы знакомств
7276,Tax Preparation Service,,Soliqlarni tayyorlash xizmati,Служба подготовки налогов
7277,"Debt, Marriage, Personal: Counseling Service",,"Qarz, nikoh, shaxsiy: Maslahat xizmati","Долг, брак, личный: консультационная служба"
7278,"Buying/Shopping Clubs, Services",,"Sotib olish / xarid qilish klublari, xizmatlari","Покупка/торговые клубы, услуги"
7295,Housekeeping Service (China),,Uy sharoitida xizmat ko'rsatish (Xitoy),Домашняя служба (Китай)
7296,"Clothing Rental: Costumes, Uniforms, and Formal Wear",,"Kiyim ijarasi: kostyumlar, forma va rasmiy kiyim","Прокат одежды: костюмы, униформа и формальная одежда"
7297,Massage Parlors,,Massaj xonalari,Массажные салоны
7298,Health and Beauty Spas,,Salomatlik va go'zallik spaas,Здоровье и красота
7299,Other Services: not elsewhere classified,,Boshqa xizmatlar: boshqa joyda tasniflangan emas,Другие услуги: не классифицируется в других местах
7311,Advertising Services,,Reklama xizmatlari,Рекламные услуги
7321,Consumer Credit Reporting Agencies,,Iste'mol krediti bo'yicha hisobot agentliklari,Агентства по отчетности по кредитным кредитам
7322,Debt Collection Agency,,Qarz yig'ish agentligi,Агентство по сбору долгов
7333,"Commercial Art, Graphics, Photography",,"Tijorat san'ati, grafika, fotosurat","Коммерческое искусство, графика, фотография"
7338,"Quick Copy, Reproduction, and Blueprinting Services",,"Tez nusxalash, ko'payish va chizish xizmatlari","Быстрая копия, воспроизводство и платежи"
7339,Stenographic and Secretarial Support Services,,Stenografik va kotibiyatni qo'llab-quvvatlash xizmatlari,Служба стенографической и секретарской поддержки
7342,Exterminating and Disinfecting Services,,Yo'q qilish va dezinfektsiyalash xizmatlari,Истребление и дезинфицирующие услуги
7349,"Cleaning and Maintenance, Janitorial Services",,"Tozalash va texnik xizmat ko'rsatish, Yan'at xizmatlari","Очистка и обслуживание, уборочные услуги"
7361,"Employment Agencies, Temporary Help Services",,"Bandlik agentliklari, vaqtincha yordam xizmatlari","Агентства по трудоустройству, временная помощь услуги"
7372,"Computer Programming, Data Processing, and Integrated Systems Design Services",,"Kompyuterni dasturlash, ma'lumotlarni qayta ishlash va integratsiyalashgan tizimlarni loyihalash xizmatlari","Компьютерное программирование, обработка данных и интегрированные системы проектирования систем"
7375,Information Retrieval Services,,Axborotni olish xizmatlari,Службы поиска информации
7379,"Computer Maintenance, Repair, and Services: not elsewhere classified",,"Kompyuter texnikasi, ta'mirlash va xizmatlar: boshqa joyda tasniflangan emas","Техническое обслуживание, ремонт и услуги компьютера: никто классифицируется"
7392,"Consulting, Management, and Public Relations Services",,"Konsalting, menejment va jamoatchilik bilan aloqalar xizmatlari","Службы консалтинга, управления и связей с общественностью"
7393,"Detective Agencies, Protective Agencies, Security Services including Armored Cars, Guard Dogs",,"Detektiv agentliklar, himoya agentliklari, xavfsizlik xizmatlari, shu jumladan zirhli avtomobillar, soqchilar itlari","Детективные агентства, защитные агентства, службы безопасности, включая бронированные автомобили, охраняющие собаки"
7394,"Equipment Rental and Leasing Services, Furniture Rental, Tool Rental",,"Uskunalar Ijaraga va lizing xizmatlari, mebel ijarasi, asbobni ijaraga berish","Служба аренды оборудования и лизинга, аренда мебели, прокат инструментов"
7395,"Photo Developing, Photofinishing Laboratories",,"Fotosuratni ishlab chiqish, fotofinlash laboratoriyalari","Разработка фото, фотофинирующие лаборатории"
7399,Business Services: not elsewhere classified,,Biznes xizmatlari: boshqa joyda tasniflangan emas,Бизнес -услуги: не в других местах классифицируется
7512,Automobile Rental Agency: not elsewhere classified,,Avtomobillarni ijaraga olish agentligi: boshqa joyda tasniflangan emas,Агентство по прокату автомобилей: не в других местах классифицируется
7513,Truck Rental,,Yuk mashinasi ijarasi,Прокат грузовиков
7519,Motor Home and Recreational Vehicle Rental,,Avtomobil uyi va dam olish texnikasi ijarasi,Дом на колесах и развлекательный прокат транспортных средств
7523,Automobile Parking Lots and Garages,,Avtomobil to'xtash joylari va garajlar,Автомобильные парковки и гаражи
7531,Automotive Body Repair Shops,,Avtomobilni ta'mirlash bo'yicha mutaxassislar,Автомобильные мастерские ремонта кузова
7534,Tire Retreading and Repair Shops,,Shinani qayta ishlash va ta'mirlash do'konlari,Магазины ретресса и ремонта шин
7535,Automotive Paint Shops,,Avtomobillar uchun bo'yoq do'konlari,Автомобильные мастерские
7538,Automotive Service Shops,,Avtomobillarga xizmat ko'rsatish sexlari,Автомобильные сервисные магазины
7542,Car Washes,,Avtomobil yuvish,Автомобильные стирки
7549,Towing Services,,Exish xizmatlari,Буксирные услуги
7622,Electronic Repair Shops,,Elektron ta'mirlash do'konlari,Электронные ремонтные мастерские
7623,Air Conditioning and Refrigeration Repair Shops,,Konditsioner va sovutishni ta'mirlash sexlari,Кондиционирование и ремонтные магазины охлаждения
7629,"Appliance Repair Shops, Electrical and Small",,"Qurilmani ta'mirlash, elektr va kichik","Магазины ремонта приборов, электрические и маленькие"
7631,"Clock, Jewelry, and Watch Repair Shops",,"Soat, zargarlik buyumlari va ta'mirlash do'konlarini tomosha qiling","Часы, украшения и ремонтные мастерские"
7641,"Furniture: Reupholstery and Repair, Refinishing",,"Uy jihozlari: qayta tiklanish va ta'mirlash, qayta tiklash","Мебель: ревфолстера и ремонт, ремонт"
7692,Welding Repair,,Payvandlash,Сварка ремонта
7699,Miscellaneous Repair Shops and Related Services,,Turli xil ta'mirlash do'konlari va tegishli xizmatlar,Разное ремонтные мастерские и связанные с ними услуги
7800,Government Owned Lottery (U.S. Region Only),,Hukumat lotereya (AQSh viloyati),Государственная лотерея (только регион США)
7801,Internet Gambling (U.S. Region Only),,Internet-qimorlanish (faqat AQSh viloyati),Азартные игры в Интернете (только в регионе США)
7802,Government Licensed Horse/Dog Racing (U.S. Region Only),,Hukumat litsenziyalangan ot / it poygasi (AQSh viloyati),Государственные лицензированные лошади/гонки для собак (только в регионе США)
7829,Motion Picture and Video Tape Production and Distribution,,Motion Rasm va video lenta ishlab chiqarish va tarqatish,Производство и распространение кинофильмы и видеосвязан
7832,Motion Picture Theaters,,Motion Teatr teatrlari,Кинотеатры
7841,Video Entertainment Rental Stores,,Videoda ko'ngilochar ijaralar,Видео -развлечения аренда
7911,"Dance Halls, Schools, and Studios",,"Raqs zallari, maktablar va studiyalar","Танцевальные залы, школы и студии"
7922,"Theatrical Producers (except Motion Pictures), Ticket Agencies",,"Teatrlashtirilgan ishlab chiqaruvchilar (kinofilmlardan tashqari), chipta agentliklari","Театральные продюсеры (кроме кинофильмов), билетные агентства"
7929,"Bands, Orchestras, and Miscellaneous Entertainers: not elsewhere classified",,"Guruhlar, orkestrlar va boshqa ko'ngilocharlar: boshqa joyda tasniflangan","Группы, оркестры и разные артисты: никто классифицируется"
7932,Pool and Billiard Establishments,,Hovuz va Billiard muassasalari,Бассейн и бильярдные заведения
7933,Bowling Alleys,,Bouling xiyobonlari,Боулинг -переулки
7941,"Athletic Fields, Commercial Sports, Professional Sports Clubs, Sports Promoters",,"Sport maydonlari, tijorat sporti, professional sport klublari, sport targ'ibotchilari","Спортивные поля, коммерческие виды спорта, профессиональные спортивные клубы, спортивные промоутеры"
7991,Tourist Attractions and Exhibits,,Turistik diqqatga sazovor joylar va eksponatlar,Туристические достопримечательности и экспонаты
7992,"Golf Courses, Public",,"Golf kurslari, jamoatchilik","Поля для гольфа, публичные"
7993,Video Amusement Game Supplies,,Video o'yin-kulgi o'yinlari,Видеоализация Game Supplies
7994,Video Game Arcades/Establishments,,Video o'yini Arcades / muassasalari,Видеоигры Аркады/заведения
7995,Gambling Transactions,,Qimor o'yinlari,Азартные сделки
7996,"Amusement Parks, Carnivals, Circuses, Fortune Tellers",,"Ko'ngil bo'sh parklar, avn anchalar, turklar, folbinlar","Парки развлечений, карнавалы, цирки, гадалки"
7997,"Clubs: Country Clubs, Membership (Athletic, Recreation, Sports), Private Golf Courses",,"Klublar: Mamlakat klublari, a'zolik (sport, dam olish, sport), xususiy golf kurslari","Клубы: загородные клубы, членство (спортивное, отдых, спорт), частные поля для гольфа"
7998,"Aquariums, Dolphinariums, Zoos, and Seaquariums",,"Akvarium, delfinariumlar, hayvonot bog'lari va akvariumlar","Аквариумы, дельфинарии, зоопарки и аквариумы"
7999,Recreation Services: not elsewhere classified,,Dam olish xizmatlari: boshqa joyda tasniflangan emas,Службы отдыха: не в других местах классифицируется
8011,Doctors: not elsewhere classified,,Shifokorlar: boshqa joyda tasniflangan emas,Врачи: ни в другом месте классифицируется
8021,"Dentists, Orthodontists",,"Stomatologlar, ortodontlar","Стоматологи, ортодонт"
8031,Osteopathic Physicians,,Osteopatik shifokorlar,Остеопатические врачи
8041,Chiropractors,,Chiropraktors,Хиропрактики
8042,"Optometrists, Ophthalmologists",,"Opometristlar, oftalmologlar","Оптометристы, офтальмологи"
8043,"Opticians, Optical Goods, and Eyeglasses",,"Opitsitlar, optik buyumlar va ko'zoynaklar","Оптики, оптические товары и очки"
8049,"Chiropodists, Podiatrists",,"Chiropodchilar, podiatrlar","Хироподисты, Подиатры"
8050,Nursing and Personal Care Facilities,,Hamshiralik va shaxsiy parvarish qilish inshootlari,Устройства по уходу и личному уходу
8062,Hospitals,,Kasalxonalar,Больницы
8071,Dental and Medical Laboratories,,Tish va tibbiy laboratoriyalar,Стоматологические и медицинские лаборатории
8099,"Health Practitioners, Medical Services: not elsewhere classified",,"Salomatlik amaliyoti, tibbiy xizmatlar: boshqa joyda tasniflangan emas","Практикующие врачи, медицинские услуги: не в других местах классифицируются"
8111,"Attorneys, Legal Services",,"Advokatlar, yuridik xizmatlar","Адвокаты, юридические услуги"
8211,"Schools, Elementary and Secondary",,"Maktablar, boshlang'ich va ikkilamchi","Школы, начальные и второстепенные"
8220,"Colleges, Universities, Professional Schools, and Junior Colleges",,"Kollejlar, universitetlar, kasb-hunar maktablari va kichik kollejlar","Колледжи, университеты, профессиональные школы и младшие колледжи"
8241,"Schools, Correspondence",,"Maktablar, yozishmalar","Школы, переписка"
8244,"Schools, Business and Secretarial",,"Maktablar, biznes va kotibiyat","Школы, бизнес и секретарь"
8249,"Schools, Trade and Vocational",,"Maktablar, savdo va kasb","Школы, торговля и профессиональный"
8299,Schools and Educational Services: not elsewhere classified,,Maktablar va ta'lim xizmatlari: boshqa joyda tasniflangan emas,Школы и образовательные услуги: ни в другом месте классифицируется
8351,Child Care Services,,Bolalar parvarishlari,Услуги по уходу за детьми
8398,"Organizations, Charitable and Social Service",,"Tashkilotlar, xayriya va ijtimoiy xizmat","Организации, благотворительная и социальная служба"
8641,"Associations: Civic, Social, and Fraternal",,"Birlashmalar: fuqarolik, ijtimoiy va qardosh","Ассоциации: гражданские, социальные и братские"
8651,"Organizations, Political",,"Tashkilotlar, siyosiy","Организации, политические"
8661,"Organizations, Religious",,"Tashkilotlar, diniy","Организации, религиозные"
8675,Automobile Associations,,Avtomobillar uyushmalari,Автомобильные ассоциации
8699,"Organizations, Membership: not elsewhere classified",,"Tashkilotlar, a'zolik: boshqa boshqa joyda tasniflangan emas","Организации, членство: не в других местах классифицируется"
8734,Testing Laboratories (Non-Medical),,Sinov laboratoriyalari (tibbiy bo'lmagan),Тестирование лабораторий (немедицинские)
8911,"Architectural, Engineering, and Surveying Services",,"Arxitektura, muhandislik va so'rov xizmatlari","Архитектурные, инженерные и съемки услуг"
8931,"Accounting, Auditing, and Bookkeeping Services",,"Buxgalteriya hisobi, audit va buxgalteriya xizmatlari","Услуги бухгалтерского учета, аудита и бухгалтерского учета"
8999,Professional Services: not elsewhere classified,,Kasbiy xizmatlar: boshqa joyda tasniflangan emas,Профессиональные услуги: не в других местах классифицируется
9211,Court Costs including Alimony and Child Support,,Sud xarajatlarni hisobga olish va blanzonlikni ta'minlash,"Судебные издержки, включая алименты и алименты,"
9222,Fines,,Jarimalar,Штраф
9223,Bail and Bond Payments,,Garov va obligatsiya to'lovlari,Платежи по залогу и облигациям
9311,Tax Payments,,Soliq to'lovlari,Налоговые платежи
9399,Government Services: not elsewhere classified,,Davlat xizmatlari: boshqa joyda tasniflangan emas,Государственные услуги: не в других местах классифицируется
9402,Postal Services: Government Only,,Pochta xizmatlari: faqat hukumat,Почтовые услуги: только правительство
9405,Intra-Government Purchases: Government Only,,Hukumat ichidagi xaridlar: faqat hukumat,Внутренние покупки: только правительство
